,Unnamed: 0,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
52,52,1.0,5.0,1.0,0.004357814788818359,one of [jaglom's] better efforts -- a [[wry]] and sometime bitter movie about love .,0.0,0.9988980889320374,one of [jaglom's] better efforts -- a [[sardonic]] and sometime bitter movie about love .,Successful,0.8003203203844999,0.974232256412506,-42.41094207763672,-43.25901794433594,0.8480758666992188,iga-52,one of [jaglom's] better efforts -- a wry and sometime bitter movie about love .,one of [jaglom's] better efforts -- a sardonic and sometime bitter movie about love .
640,640,1.0,1108.0,1.0,0.002577662467956543,"there is a real [[subject]] here , and it is handled with [[intelligence]] and [[care]] .",0.0,0.7611168026924133,"there is a real [[problem]] here , and it is handled with [[intellectual]] and [[zorg]] .",Successful,0.5533409598501607,0.6685830950737,-40.30016326904297,-37.22414779663086,-3.0760154724121094,iga-640,"there is a real subject here , and it is handled with intelligence and care .","there is a real problem here , and it is handled with intellectual and zorg ."
538,538,0.0,51.0,0.0,0.3979039192199707,"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its [[handful]] of redeeming features , as long as you discount its ability to bore .",1.0,0.9944964051246644,"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its [[hilt]] of redeeming features , as long as you discount its ability to bore .",Successful,0.9210500207490828,0.9681437015533448,-41.20261764526367,-40.34650421142578,-0.8561134338378906,iga-538,"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .","though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its hilt of redeeming features , as long as you discount its ability to bore ."
995,995,1.0,38.0,1.0,0.0009077787399291992,a realistically [[terrifying]] movie that puts another notch in the belt of the long list of renegade-cop tales .,0.0,0.9983141422271729,a realistically [[dreadful]] movie that puts another notch in the belt of the long list of renegade-cop tales .,Successful,0.866397551781362,0.947426438331604,-40.29677200317383,-39.78640365600586,-0.5103683471679688,iga-995,a realistically terrifying movie that puts another notch in the belt of the long list of renegade-cop tales .,a realistically dreadful movie that puts another notch in the belt of the long list of renegade-cop tales .
1029,1029,0.0,827.0,0.0,0.0008469820022583008,[[suffers]] from unlikable [[characters]] and a self-conscious [[sense]] of its own [[quirky]] hipness .,1.0,0.9407816529273988,[[undergo]] from unlikable [[featured]] and a self-conscious [[sensor]] of its own [[mercurial]] hipness .,Successful,0.4841524713034601,0.5735607743263245,-47.84360885620117,-43.02143478393555,-4.822174072265625,iga-1029,suffers from unlikable characters and a self-conscious sense of its own quirky hipness .,undergo from unlikable featured and a self-conscious sensor of its own mercurial hipness .
872,872,1.0,5778.0,1.0,0.0003604888916015625,"the 3-d [[vistas]] from orbit , with the space [[station]] [[suspended]] like a huge set of wind chimes over the [[great]] blue globe , are [[stanzas]] of breathtaking , awe-inspiring visual [[poetry]] .",0.0,0.5790529847145081,"the 3-d [[opinion]] from orbit , with the space [[terminals]] [[eliminated]] like a huge set of wind chimes over the [[stupendous]] blue globe , are [[rhymed]] of breathtaking , awe-inspiring visual [[novelists]] .",Successful,0.5770113490147172,0.8062964677810669,-51.0987663269043,-46.17261123657226,-4.926155090332031,iga-872,"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry .","the 3-d opinion from orbit , with the space terminals eliminated like a huge set of wind chimes over the stupendous blue globe , are rhymed of breathtaking , awe-inspiring visual novelists ."
360,360,1.0,355.0,1.0,0.001689314842224121,"as relationships shift , director robert j . siegel [[allows]] the [[characters]] to inhabit their world [[without]] cleaving to a [[narrative]] arc .",0.0,0.8776822686195374,"as relationships shift , director robert j . siegel [[permitting]] the [[character]] to inhabit their world [[unless]] cleaving to a [[story]] arc .",Successful,0.5440577076934588,0.8528354167938232,-53.93922805786133,-52.61536026000977,-1.3238677978515625,iga-360,"as relationships shift , director robert j . siegel allows the characters to inhabit their world without cleaving to a narrative arc .","as relationships shift , director robert j . siegel permitting the character to inhabit their world unless cleaving to a story arc ."
85,85,0.0,592.0,0.0,0.08624333143234253,a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let [[slide]] .,1.0,0.9817659258842468,a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let [[skid]] .,Successful,0.9356154226309104,0.9615297913551332,-44.100399017333984,-43.72537231445313,-0.3750267028808594,iga-85,a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide .,a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let skid .
685,685,1.0,329.0,1.0,0.0007919669151306152,". . . [[strips]] bible [[stores]] of the potential for sanctimoniousness , [[making]] them [[meaningful]] for both kids and church-wary [[adults]] .",0.0,0.9959912896156312,". . . [[strip]] bible [[stockpiling]] of the potential for sanctimoniousness , [[doing]] them [[valid]] for both kids and church-wary [[grownup]] .",Successful,0.4543274805333144,0.6606373190879822,-47.73625183105469,-44.66702651977539,-3.069225311279297,iga-685,". . . strips bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",". . . strip bible stockpiling of the potential for sanctimoniousness , doing them valid for both kids and church-wary grownup ."
513,513,1.0,2224.0,1.0,0.0005909204483032228,it's a [[great]] american [[adventure]] and a [[wonderful]] film to bring to imax .,0.0,0.9988557696342468,it's a [[gargantuan]] american [[fling]] and a [[unpaid]] film to bring to imax .,Successful,0.4428500142691474,0.7390316128730774,-43.11713790893555,-40.02461624145508,-3.0925216674804688,iga-513,it's a great american adventure and a wonderful film to bring to imax .,it's a gargantuan american fling and a unpaid film to bring to imax .
589,589,1.0,237.0,1.0,0.3861588835716248,"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention [[takes]] a surprising , subtle turn at the midway point .",0.0,0.998397707939148,"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention [[taking]] a surprising , subtle turn at the midway point .",Successful,0.9127592114472296,0.9897563457489014,-43.982723236083984,-43.24283981323242,-0.7398834228515625,iga-589,"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .","what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention taking a surprising , subtle turn at the midway point ."
603,603,0.0,6.0,0.0,0.0036002397537231445,"one of the most [[plain]] , unimaginative romantic comedies i've ever seen .",1.0,0.9985650777816772,"one of the most [[lowland]] , unimaginative romantic comedies i've ever seen .",Successful,0.7611606003349892,0.9444286823272704,-31.714902877807614,-31.89443016052246,0.17952728271484375,iga-603,"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the most lowland , unimaginative romantic comedies i've ever seen ."
499,499,1.0,735.0,1.0,0.0005079507827758789,this is one of those [[rare]] docs that [[paints]] a grand picture of an era and makes the [[journey]] feel like a party .,0.0,0.9833682179450988,this is one of those [[few]] docs that [[repaint]] a grand picture of an era and makes the [[outing]] feel like a party .,Successful,0.6531420255892322,0.7917563915252686,-40.46017074584961,-40.89834976196289,0.4381790161132813,iga-499,this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .,this is one of those few docs that repaint a grand picture of an era and makes the outing feel like a party .
498,498,1.0,396.0,1.0,0.0009624958038330078,[[demonstrates]] a [[vivid]] imagination and an impressive style that result in some [[terrific]] setpieces .,0.0,0.8071165084838867,[[testifies]] a [[lively]] imagination and an impressive style that result in some [[peachy]] setpieces .,Successful,0.6100034457014365,0.7797603607177734,-47.603416442871094,-44.78065490722656,-2.8227615356445312,iga-498,demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,testifies a lively imagination and an impressive style that result in some peachy setpieces .
47,47,1.0,913.0,1.0,0.00042885541915893566,a [[passionately]] [[inquisitive]] film determined to uncover the [[truth]] and hopefully inspire action .,0.0,0.6833244562149048,a [[flatly]] [[indiscreet]] film determined to uncover the [[lowdown]] and hopefully inspire action .,Successful,0.5445178846139404,0.8284412622451782,-50.88107299804688,-45.82147598266602,-5.0595970153808585,iga-47,a passionately inquisitive film determined to uncover the truth and hopefully inspire action .,a flatly indiscreet film determined to uncover the lowdown and hopefully inspire action .
838,838,0.0,46.0,0.0,0.0016193389892578125,a reworking of die hard and cliffhanger but it's [[nowhere]] near as exciting as either .,1.0,0.8080705404281616,a reworking of die hard and cliffhanger but it's [[somewhere]] near as exciting as either .,Successful,0.8153551038173115,0.947273850440979,-39.28877258300781,-39.191741943359375,-0.0970306396484375,iga-838,a reworking of die hard and cliffhanger but it's nowhere near as exciting as either .,a reworking of die hard and cliffhanger but it's somewhere near as exciting as either .
690,690,1.0,62.0,1.0,0.0008034110069274902,"the wonderfully lush morvern callar is [[pure]] punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.0,0.9853160381317142,"the wonderfully lush morvern callar is [[mere]] punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",Successful,0.933651069586263,0.9935201406478882,-54.77961349487305,-54.64573287963867,-0.133880615234375,iga-690,"the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the wonderfully lush morvern callar is mere punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting ."
1037,1037,1.0,86.0,1.0,0.002249777317047119,"critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show [[delivers]] the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .",0.0,0.9986509680747986,"critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show [[prescribes]] the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .",Successful,0.9127592114472296,0.9595404863357544,-48.93643188476562,-48.327491760253906,-0.6089401245117188,iga-1037,"critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .","critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show prescribes the outrageous , sickening , sidesplitting goods in steaming , visceral heaps ."
116,116,1.0,24.0,1.0,0.01425260305404663,an adorably whimsical [[comedy]] that deserves more than a passing twinkle .,0.0,0.9991597533226012,an adorably whimsical [[travesty]] that deserves more than a passing twinkle .,Successful,0.7348889200874658,0.8090512156486511,-37.476261138916016,-36.62678527832031,-0.8494758605957031,iga-116,an adorably whimsical comedy that deserves more than a passing twinkle .,an adorably whimsical travesty that deserves more than a passing twinkle .
708,708,0.0,285.0,0.0,0.2996079921722412,"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , [[demonstrating]] yet again that the era of the intelligent , well-made b movie is long gone .",1.0,0.9910142421722412,"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , [[showcase]] yet again that the era of the intelligent , well-made b movie is long gone .",Successful,0.9370011451812968,0.9857991933822632,-42.35911560058594,-42.6507568359375,0.2916412353515625,iga-708,"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone .","this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , showcase yet again that the era of the intelligent , well-made b movie is long gone ."
772,772,1.0,826.0,1.0,0.0024004578590393066,fans of the [[modern]] day hong kong action [[film]] finally have the [[worthy]] [[successor]] to a better [[tomorrow]] and the killer which they have been patiently waiting for .,0.0,0.5573211908340454,fans of the [[fashionable]] day hong kong action [[flick]] finally have the [[respectable]] [[inherit]] to a better [[morgen]] and the killer which they have been patiently waiting for .,Successful,0.5634567184225466,0.8138754367828369,-51.49021911621094,-46.72333526611328,-4.766883850097656,iga-772,fans of the modern day hong kong action film finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for .,fans of the fashionable day hong kong action flick finally have the respectable inherit to a better morgen and the killer which they have been patiently waiting for .
669,669,0.0,1470.0,0.0,0.00036835670471191406,"[[clumsy]] , obvious , preposterous , the movie will [[likely]] set the [[cause]] of woman warriors back decades .",1.0,0.7981206774711609,"[[uncomfortable]] , obvious , preposterous , the movie will [[apt]] set the [[spark]] of woman warriors back decades .",Successful,0.6503386691979853,0.7370701432228088,-45.17541885375977,-44.93249130249024,-0.24292755126953125,iga-669,"clumsy , obvious , preposterous , the movie will likely set the cause of woman warriors back decades .","uncomfortable , obvious , preposterous , the movie will apt set the spark of woman warriors back decades ."
752,752,1.0,781.0,1.0,0.00552058219909668,"jolie gives it that [[extra]] [[little]] [[something]] that makes it worth checking out at theaters , especially if you're in the mood for something more comfortable than challenging .",0.0,0.9966496229171752,"jolie gives it that [[addition]] [[minimal]] [[anything]] that makes it worth checking out at theaters , especially if you're in the mood for something more comfortable than challenging .",Successful,0.8330787010500831,0.9254992008209229,-43.48587036132813,-41.83511734008789,-1.6507530212402344,iga-752,"jolie gives it that extra little something that makes it worth checking out at theaters , especially if you're in the mood for something more comfortable than challenging .","jolie gives it that addition minimal anything that makes it worth checking out at theaters , especially if you're in the mood for something more comfortable than challenging ."
446,446,0.0,432.0,0.0,0.000371694564819336,[[another]] boorish movie from the i-heard-a-joke- at-a-frat-party [[school]] of screenwriting .,1.0,0.9962764382362366,[[nouvelle]] boorish movie from the i-heard-a-joke- at-a-frat-party [[education]] of screenwriting .,Successful,0.587728372510532,0.7576245069503784,-44.57865524291992,-41.44312286376953,-3.13553237915039,iga-446,another boorish movie from the i-heard-a-joke- at-a-frat-party school of screenwriting .,nouvelle boorish movie from the i-heard-a-joke- at-a-frat-party education of screenwriting .
926,926,0.0,405.0,0.0,0.0008127093315124513,"if the full monty was a [[freshman]] fluke , lucky [[break]] is [cattaneo] sophomore [[slump]] .",1.0,0.5507720708847046,"if the full monty was a [[newcomers]] fluke , lucky [[intermission]] is [cattaneo] sophomore [[doldrums]] .",Successful,0.4685909905380384,0.7512891888618469,-52.59073257446289,-51.88114547729492,-0.7095870971679688,iga-926,"if the full monty was a freshman fluke , lucky break is [cattaneo] sophomore slump .","if the full monty was a newcomers fluke , lucky intermission is [cattaneo] sophomore doldrums ."
567,567,1.0,174.0,1.0,0.00884544849395752,"examines its explosive subject matter as nonjudgmentally as wiseman's [[previous]] studies of inner-city high schools , hospitals , courts and welfare centers .",0.0,0.9002278447151184,"examines its explosive subject matter as nonjudgmentally as wiseman's [[bygone]] studies of inner-city high schools , hospitals , courts and welfare centers .",Successful,0.8787419089273848,0.9669500589370728,-45.79785537719727,-44.469322204589844,-1.328533172607422,iga-567,"examines its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers .","examines its explosive subject matter as nonjudgmentally as wiseman's bygone studies of inner-city high schools , hospitals , courts and welfare centers ."
908,908,1.0,340.0,1.0,0.0005784034729003906,"the film [[boasts]] dry [[humor]] and jarring shocks , [[plus]] moments of breathtaking mystery .",0.0,0.9507763981819152,"the film [[boasting]] dry [[comedy]] and jarring shocks , [[anymore]] moments of breathtaking mystery .",Successful,0.4578831372133982,0.9204212427139282,-47.2921371459961,-46.80718231201172,-0.484954833984375,iga-908,"the film boasts dry humor and jarring shocks , plus moments of breathtaking mystery .","the film boasting dry comedy and jarring shocks , anymore moments of breathtaking mystery ."
232,232,1.0,95.0,1.0,0.000644981861114502,"satisfyingly scarifying , [[fresh]] and old-fashioned at the same [[time]] .",0.0,0.7048038244247437,"satisfyingly scarifying , [[expenses]] and old-fashioned at the same [[temps]] .",Successful,0.4832697830906221,0.70595383644104,-42.55216598510742,-43.49166870117188,0.9395027160644532,iga-232,"satisfyingly scarifying , fresh and old-fashioned at the same time .","satisfyingly scarifying , expenses and old-fashioned at the same temps ."
361,361,0.0,4504.0,0.0,0.0006798505783081055,"[[shame]] on [[writer]]/director vicente aranda for making a florid biopic about [[mad]] queens , obsessive relationships , and [[rampant]] adultery so [[dull]] .",1.0,0.8180121183395386,"[[embarrass]] on [[novelist]]/director vicente aranda for making a florid biopic about [[deranged]] queens , obsessive relationships , and [[interminable]] adultery so [[somber]] .",Successful,0.5447867160385158,0.8785271644592285,-58.04403686523438,-55.905357360839844,-2.1386795043945312,iga-361,"shame on writer/director vicente aranda for making a florid biopic about mad queens , obsessive relationships , and rampant adultery so dull .","embarrass on novelist/director vicente aranda for making a florid biopic about deranged queens , obsessive relationships , and interminable adultery so somber ."
64,64,1.0,74.0,1.0,0.0009821653366088867,a solidly [[entertaining]] little film .,0.0,0.9996253848075868,a solidly [[bothersome]] little film .,Successful,0.5946035575013605,0.8239021897315979,-40.4801025390625,-36.80499267578125,-3.67510986328125,iga-64,a solidly entertaining little film .,a solidly bothersome little film .
987,987,0.0,1814.0,0.0,0.002562522888183593,this slender plot [[feels]] [[especially]] thin [[stretched]] over the nearly 80-minute running time .,1.0,0.5757821798324585,this slender plot [[treats]] [[specifically]] thin [[elongated]] over the nearly 80-minute running time .,Successful,0.5445178846139404,0.8484460115432739,-49.71883010864258,-48.43145751953125,-1.287372589111328,iga-987,this slender plot feels especially thin stretched over the nearly 80-minute running time .,this slender plot treats specifically thin elongated over the nearly 80-minute running time .
500,500,0.0,716.0,0.0,0.0007973313331604004,"the film is all over the place , really . it dabbles all around , [[never]] [[gaining]] much momentum .",1.0,0.9849587082862854,"the film is all over the place , really . it dabbles all around , [[jamais]] [[earns]] much momentum .",Successful,0.8031546656684839,0.9154380559921264,-42.559120178222656,-41.70306396484375,-0.8560562133789062,iga-500,"the film is all over the place , really . it dabbles all around , never gaining much momentum .","the film is all over the place , really . it dabbles all around , jamais earns much momentum ."
555,555,0.0,1432.0,0.0,0.002938210964202881,i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and [[used]] the [[film]] as a bonus [[feature]] on the dvd .,1.0,0.6976398229598999,i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and [[utilizes]] the [[cinematography]] as a bonus [[attribute]] on the dvd .,Successful,0.7774570245775206,0.9241379499435424,-44.0772590637207,-40.41777420043945,-3.65948486328125,iga-555,i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .,i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and utilizes the cinematography as a bonus attribute on the dvd .
278,278,0.0,983.0,0.0,0.00045162439346313477,"[[swims]] in [[mediocrity]] , sticking its [[head]] up for a breath of fresh [[air]] now and then .",1.0,0.7627766132354736,"[[swam]] in [[manure]] , sticking its [[leader]] up for a breath of fresh [[aviation]] now and then .",Successful,0.4806604068305994,0.5774132013320923,-47.53033447265625,-45.277992248535156,-2.2523422241210938,iga-278,"swims in mediocrity , sticking its head up for a breath of fresh air now and then .","swam in manure , sticking its leader up for a breath of fresh aviation now and then ."
15,15,0.0,96.0,0.0,0.00040739774703979487,the spalding gray equivalent of a teen gross-out [[comedy]] .,1.0,0.6683750152587891,the spalding gray equivalent of a teen gross-out [[hilarious]] .,Successful,0.7825422900366437,0.8849511146545409,-41.40667343139648,-37.87717819213867,-3.5294952392578125,iga-15,the spalding gray equivalent of a teen gross-out comedy .,the spalding gray equivalent of a teen gross-out hilarious .
214,214,1.0,7.0,1.0,0.0004717111587524414,"pull[s] off the [[rare]] trick of recreating not only the look of a certain era , but also the feel .",0.0,0.9796660542488098,"pull[s] off the [[seldom]] trick of recreating not only the look of a certain era , but also the feel .",Successful,0.8656030552541708,0.9499752521514891,-35.04024887084961,-33.50775909423828,-1.532489776611328,iga-214,"pull[s] off the rare trick of recreating not only the look of a certain era , but also the feel .","pull[s] off the seldom trick of recreating not only the look of a certain era , but also the feel ."
580,580,1.0,146.0,1.0,0.0006344914436340332,writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is [[undeniable]] .,0.0,0.9959862232208252,writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is [[unchallenged]] .,Successful,0.9036020036098448,0.9739775657653807,-52.09378051757813,-48.14073181152344,-3.953048706054688,iga-580,writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is undeniable .,writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is unchallenged .
594,594,0.0,2459.0,0.0,0.0012515783309936526,"rumor , a [[muddled]] drama about [[coming]] to terms with death , feels impersonal , [[almost]] generic .",1.0,0.6408586502075195,"rumor , a [[unsettling]] drama about [[emerges]] to terms with death , feels impersonal , [[hardly]] generic .",Successful,0.5295473878508684,0.8913754224777222,-49.24216079711914,-47.70936965942383,-1.5327911376953125,iga-594,"rumor , a muddled drama about coming to terms with death , feels impersonal , almost generic .","rumor , a unsettling drama about emerges to terms with death , feels impersonal , hardly generic ."
250,250,1.0,265.0,1.0,0.005101144313812256,paid in full is remarkably engaging [[despite]] being noticeably [[derivative]] of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,0.0,0.8340947031974792,paid in full is remarkably engaging [[whereas]] being noticeably [[drifted]] of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,Successful,0.7552498655792421,0.8696869015693665,-48.837791442871094,-46.73597717285156,-2.1018142700195312,iga-250,paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,paid in full is remarkably engaging whereas being noticeably drifted of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .
285,285,1.0,16.0,1.0,0.2982723116874695,you will likely prefer to [[keep]] on watching .,0.0,0.9425095915794371,you will likely prefer to [[conserve]] on watching .,Successful,0.5969491792019646,0.8186963796615601,-39.80167007446289,-37.61204147338867,-2.1896286010742188,iga-285,you will likely prefer to keep on watching .,you will likely prefer to conserve on watching .
815,815,0.0,734.0,0.0,0.0005151033401489258,a [[movie]] that [[falls]] [[victim]] to frazzled wackiness and frayed satire .,1.0,0.8931546807289124,a [[filmmaking]] that [[reduces]] [[injury]] to frazzled wackiness and frayed satire .,Successful,0.5491004867761125,0.8076832294464111,-44.35389709472656,-44.03784942626953,-0.31604766845703125,iga-815,a movie that falls victim to frazzled wackiness and frayed satire .,a filmmaking that reduces injury to frazzled wackiness and frayed satire .
