,Unnamed: 0,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
64,64,1.0,50.0,1.0,0.0009821653366088867,a solidly [[entertaining]] [[little]] film .,0.0,0.9973578453063964,a solidly [[hold]] [[minuscule]] film .,Successful,0.7186082239261684,0.7128283977508545,-44.11814880371094,-43.36795425415039,-0.7501945495605469,pwws-64,a solidly entertaining little film .,a solidly hold minuscule film .
536,536,1.0,164.0,1.0,0.0007808208465576173,"it uses some of the figures from the real-life story to portray themselves in the film . the result is a [[powerful]] , naturally dramatic piece of low-budget filmmaking .",0.0,0.7244963645935059,"it uses some of the figures from the real-life story to portray themselves in the film . the result is a [[knock-down]] , naturally dramatic piece of low-budget filmmaking .",Successful,0.9095930632220222,0.9597201943397522,-33.648452758789055,-33.60642623901367,-0.04202651977539063,pwws-536,"it uses some of the figures from the real-life story to portray themselves in the film . the result is a powerful , naturally dramatic piece of low-budget filmmaking .","it uses some of the figures from the real-life story to portray themselves in the film . the result is a knock-down , naturally dramatic piece of low-budget filmmaking ."
86,86,1.0,211.0,1.0,0.004204511642456055,"insomnia loses [[points]] when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank [[keep]] the viewer wide-awake all the way through .",0.0,0.5875210165977478,"insomnia loses [[show]] when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank [[prevent]] the viewer wide-awake all the way through .",Successful,0.8583257606092084,0.9559916257858276,-44.619117736816406,-43.65056991577149,-0.968547821044922,pwws-86,"insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through .","insomnia loses show when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank prevent the viewer wide-awake all the way through ."
240,240,0.0,216.0,0.0,0.0006105899810791018,"the film never [[gets]] over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",1.0,0.999424934387207,"the film never [[baffle]] over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",Successful,0.8942255541978509,0.9640560746192932,-34.74916458129883,-32.748550415039055,-2.0006141662597656,pwws-240,"the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .","the film never baffle over its own investment in conventional arrangements , in terms of love , age , gender , race , and class ."
290,290,1.0,169.0,1.0,0.002301633358001709,what [[sets]] this romantic comedy [[apart]] from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,0.0,0.9512258768081664,what [[fix]] this romantic comedy [[obscure]] from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,Successful,0.7944837206494969,0.9430471658706664,-42.27950668334961,-41.261417388916016,-1.0180892944335938,pwws-290,what sets this romantic comedy apart from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,what fix this romantic comedy obscure from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .
257,257,0.0,127.0,0.0,0.0012329816818237305,the only young people who possibly will [[enjoy]] it are infants . . . who might be [[distracted]] by the movie's [[quick]] movements and sounds .,1.0,0.6690437197685242,the only young people who possibly will [[revel]] it are infants . . . who might be [[distrait]] by the movie's [[agile]] movements and sounds .,Successful,0.6695426343195656,0.8266006112098694,-46.27808380126953,-41.26697540283203,-5.0111083984375,pwws-257,the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds .,the only young people who possibly will revel it are infants . . . who might be distrait by the movie's agile movements and sounds .
912,912,1.0,83.0,1.0,0.000722348690032959,poignant if [[familiar]] [[story]] of a young person suspended between two cultures .,0.0,0.9837133288383484,poignant if [[associate]] [[fib]] of a young person suspended between two cultures .,Successful,0.7016035864257111,0.829194188117981,-46.17692184448242,-42.89100646972656,-3.28591537475586,pwws-912,poignant if familiar story of a young person suspended between two cultures .,poignant if associate fib of a young person suspended between two cultures .
995,995,1.0,93.0,1.0,0.0009077787399291992,a realistically terrifying movie that puts another [[notch]] in the belt of the [[long]] list of renegade-cop tales .,0.0,0.9338733553886414,a realistically terrifying movie that puts another [[pass]] in the belt of the [[prospicient]] list of renegade-cop tales .,Successful,0.6888365053466561,0.8770774602890015,-46.32650375366211,-44.003501892089844,-2.3230018615722656,pwws-995,a realistically terrifying movie that puts another notch in the belt of the long list of renegade-cop tales .,a realistically terrifying movie that puts another pass in the belt of the prospicient list of renegade-cop tales .
566,566,1.0,104.0,1.0,0.0006947517395019531,"[[one]] of the year's best films , featuring an oscar-worthy performance by julianne moore .",0.0,0.994787335395813,"[[matchless]] of the year's best films , featuring an oscar-worthy performance by julianne moore .",Successful,0.9253911813809744,0.9553121328353882,-42.6401596069336,-39.77357864379883,-2.8665809631347656,pwws-566,"one of the year's best films , featuring an oscar-worthy performance by julianne moore .","matchless of the year's best films , featuring an oscar-worthy performance by julianne moore ."
123,123,1.0,97.0,1.0,0.000987410545349121,"in imax in short , it's just as [[wonderful]] on the big screen .",0.0,0.8735021948814392,"in imax in short , it's just as [[rattling]] on the big screen .",Successful,0.7825422900366437,0.9105339050292968,-35.26057052612305,-34.33999252319336,-0.9205780029296876,pwws-123,"in imax in short , it's just as wonderful on the big screen .","in imax in short , it's just as rattling on the big screen ."
895,895,0.0,166.0,0.0,0.000413358211517334,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . it merely [[indulges]] in the worst elements of all of them .",1.0,0.955871045589447,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . it merely [[gratify]] in the worst elements of all of them .",Successful,0.9157103753711766,0.990835428237915,-36.00899887084961,-35.59150695800781,-0.4174919128417969,pwws-895,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . it merely indulges in the worst elements of all of them .","not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . it merely gratify in the worst elements of all of them ."
1061,1061,0.0,74.0,0.0,0.0006144046783447268,you [[expect]] more from director michael apted ( enigma ) and screenwriter nicholas kazan ( reversal of fortune ) than this [[cliche]] pileup .,1.0,0.804060161113739,you [[gestate]] more from director michael apted ( enigma ) and screenwriter nicholas kazan ( reversal of fortune ) than this [[platitude]] pileup .,Successful,0.8171297699114277,0.9077398777008056,-51.0643424987793,-49.88451766967773,-1.1798248291015625,pwws-1061,you expect more from director michael apted ( enigma ) and screenwriter nicholas kazan ( reversal of fortune ) than this cliche pileup .,you gestate more from director michael apted ( enigma ) and screenwriter nicholas kazan ( reversal of fortune ) than this platitude pileup .
987,987,0.0,189.0,0.0,0.002562522888183593,this slender plot feels [[especially]] [[thin]] [[stretched]] over the nearly 80-minute [[running]] time .,1.0,0.9676475524902344,this slender plot feels [[specially]] [[slenderize]] [[extend]] over the nearly 80-minute [[linear]] time .,Successful,0.39073802494525,0.7863838672637941,-51.20763778686523,-50.09455490112305,-1.1130828857421875,pwws-987,this slender plot feels especially thin stretched over the nearly 80-minute running time .,this slender plot feels specially slenderize extend over the nearly 80-minute linear time .
247,247,0.0,124.0,0.0,0.03785228729248047,"in moonlight mile , no one gets shut out of the hug [[cycle]] .",1.0,0.7179213762283325,"in moonlight mile , no one gets shut out of the hug [[pedal]] .",Successful,0.855526185871245,0.8901123404502869,-40.72892761230469,-40.11283493041992,-0.6160926818847656,pwws-247,"in moonlight mile , no one gets shut out of the hug cycle .","in moonlight mile , no one gets shut out of the hug pedal ."
576,576,1.0,244.0,1.0,0.0015913844108581545,"[[starts]] slowly , but adrien brody  in the title role  helps [[make]] the film's conclusion [[powerful]] and satisfying .",0.0,0.6005831360816956,"[[showtime]] slowly , but adrien brody  in the title role  helps [[pretend]] the film's conclusion [[knock-down]] and satisfying .",Successful,0.6712403123245675,0.8683838844299316,-46.97670364379883,-45.747596740722656,-1.229106903076172,pwws-576,"starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .","showtime slowly , but adrien brody  in the title role  helps pretend the film's conclusion knock-down and satisfying ."
877,877,0.0,266.0,0.0,0.001401841640472412,"what we [[get]] in feardotcom is more [[like]] something from a [[bad]] clive barker movie . in other [[words]] , it's badder than bad .",1.0,0.6679122447967529,"what we [[begin]] in feardotcom is more [[comparable]] something from a [[badness]] clive barker movie . in other [[lyric]] , it's badder than bad .",Successful,0.5402963813314917,0.8495944738388062,-55.13644409179688,-51.65404510498047,-3.4823989868164062,pwws-877,"what we get in feardotcom is more like something from a bad clive barker movie . in other words , it's badder than bad .","what we begin in feardotcom is more comparable something from a badness clive barker movie . in other lyric , it's badder than bad ."
307,307,1.0,257.0,1.0,0.0009086132049560547,"does a [[good]] [[job]] of establishing a time and place , and of telling a [[fascinating]] character's story .",0.0,0.7425496578216553,"does a [[respectable]] [[problem]] of establishing a time and place , and of telling a [[fascinate]] character's story .",Successful,0.6503386691979853,0.8518821001052856,-41.76727294921875,-38.32028579711914,-3.4469871520996094,pwws-307,"does a good job of establishing a time and place , and of telling a fascinating character's story .","does a respectable problem of establishing a time and place , and of telling a fascinate character's story ."
362,362,0.0,261.0,0.0,0.006528973579406738,cherish would've worked a [[lot]] [[better]] had it been a [[short]] film .,1.0,0.5131669044494629,cherish would've worked a [[destiny]] [[intimately]] had it been a [[shortstop]] film .,Successful,0.4250281413416978,0.6165750026702881,-48.011573791503906,-44.415321350097656,-3.59625244140625,pwws-362,cherish would've worked a lot better had it been a short film .,cherish would've worked a destiny intimately had it been a shortstop film .
930,930,0.0,43.0,0.0,0.001726388931274414,a full-frontal [[attack]] on audience patience .,1.0,0.9994832277297974,a full-frontal [[blast]] on audience patience .,Successful,0.488923022434901,0.8647534847259521,-40.11457824707031,-37.99031066894531,-2.124267578125,pwws-930,a full-frontal attack on audience patience .,a full-frontal blast on audience patience .
771,771,1.0,80.0,1.0,0.0007964968681335449,. . . [[one]] of the most entertaining monster [[movies]] in [[ages]] . . .,0.0,0.9887273907661438,. . . [[matchless]] of the most entertaining monster [[pic]] in [[age]] . . .,Successful,0.41374412020518814,0.6151697635650635,-35.02787399291992,-30.606992721557614,-4.420881271362305,pwws-771,. . . one of the most entertaining monster movies in ages . . .,. . . matchless of the most entertaining monster pic in age . . .
13,13,0.0,175.0,0.0,0.0004807710647583008,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[hard]] going .,1.0,0.992320716381073,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[strong]] going .,Successful,0.8371170098777919,0.9681018590927124,-50.9035530090332,-50.32677459716797,-0.5767784118652344,pwws-13,perhaps even the slc high command found writer-director mitch davis's wall of kitsch hard going .,perhaps even the slc high command found writer-director mitch davis's wall of kitsch strong going .
363,363,0.0,103.0,0.0,0.001389622688293457,one of the [[worst]] movies of the year . . . . [[watching]] it was painful .,1.0,0.9933013916015624,one of the [[tough]] movies of the year . . . . [[ascertain]] it was painful .,Successful,0.6422727797927412,0.7025049328804016,-35.124988555908196,-31.12578773498535,-3.999200820922852,pwws-363,one of the worst movies of the year . . . . watching it was painful .,one of the tough movies of the year . . . . ascertain it was painful .
953,953,1.0,145.0,1.0,0.040553689002990716,with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a [[pleasure]] to have a film like the hours as an alternative .,0.0,0.8633266091346741,with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a [[pleasance]] to have a film like the hours as an alternative .,Successful,0.9095930632220222,0.9652844071388244,-44.96633529663086,-44.32868194580078,-0.6376533508300781,pwws-953,with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a pleasure to have a film like the hours as an alternative .,with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a pleasance to have a film like the hours as an alternative .
266,266,1.0,60.0,1.0,0.3936346173286438,your [[children]] will be occupied for 72 minutes .,0.0,0.9834102392196656,your [[minor]] will be occupied for 72 minutes .,Successful,0.7506238537503395,0.7558531761169434,-39.25404739379883,-37.81495666503906,-1.4390907287597656,pwws-266,your children will be occupied for 72 minutes .,your minor will be occupied for 72 minutes .
531,531,0.0,80.0,0.0,0.002005577087402344,"the characters . . . are paper-thin , and their personalities undergo [[radical]] changes when it suits the script .",1.0,0.8150709867477417,"the characters . . . are paper-thin , and their personalities undergo [[revolutionary]] changes when it suits the script .",Successful,0.8578928092681435,0.8957003355026245,-33.01723861694336,-33.807674407958984,0.790435791015625,pwws-531,"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .","the characters . . . are paper-thin , and their personalities undergo revolutionary changes when it suits the script ."
583,583,1.0,105.0,1.0,0.02506011724472046,"doesn't do more than [[expand]] a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",0.0,0.7272988557815552,"doesn't do more than [[thrive]] a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",Successful,0.8985396083419646,0.9656394720077516,-42.22580337524414,-40.8429069519043,-1.3828964233398438,pwws-583,"doesn't do more than expand a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .","doesn't do more than thrive a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome ."
847,847,0.0,276.0,0.0,0.0005134344100952148,"forages for audience sympathy [[like]] a temperamental child begging for attention , [[giving]] audiences no [[reason]] to truly [[care]] for its decrepit freaks beyond the promise of a reprieve from their incessant whining .",1.0,0.976932942867279,"forages for audience sympathy [[alike]] a temperamental child begging for attention , [[gift]] audiences no [[understanding]] to truly [[fear]] for its decrepit freaks beyond the promise of a reprieve from their incessant whining .",Successful,0.6918451692157553,0.9203332662582396,-53.61469650268555,-52.67524719238281,-0.9394493103027344,pwws-847,"forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .","forages for audience sympathy alike a temperamental child begging for attention , gift audiences no understanding to truly fear for its decrepit freaks beyond the promise of a reprieve from their incessant whining ."
822,822,1.0,81.0,1.0,0.0007342696189880371,"williams creates a [[stunning]] , taxi driver-esque [[portrayal]] of a man teetering on the edge of sanity .",0.0,0.9980462789535522,"williams creates a [[daze]] , taxi driver-esque [[personation]] of a man teetering on the edge of sanity .",Successful,0.667278568794606,0.8548400402069092,-39.52051162719727,-40.24619674682617,0.7256851196289062,pwws-822,"williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity .","williams creates a daze , taxi driver-esque personation of a man teetering on the edge of sanity ."
115,115,0.0,117.0,0.0,0.0005447268486022949,not just [[unlikable]] . [[disturbing]] . [[disgusting]] . without any [[redeeming]] [[value]] whatsoever .,1.0,0.96528559923172,not just [[unlikeable]] . [[troubling]] . [[wicked]] . without any [[ransom]] [[rate]] whatsoever .,Successful,0.3583129187641353,0.5829702615737915,-42.94966125488281,-39.303504943847656,-3.646156311035156,pwws-115,not just unlikable . disturbing . disgusting . without any redeeming value whatsoever .,not just unlikeable . troubling . wicked . without any ransom rate whatsoever .
485,485,0.0,317.0,0.0,0.0003845691680908203,"a [[boring]] masquerade [[ball]] where [[normally]] good actors , even kingsley , are [[made]] to [[look]] [[bad]] .",1.0,0.6827619075775146,"a [[slow]] masquerade [[orb]] where [[ordinarily]] good actors , even kingsley , are [[stimulate]] to [[face]] [[regretful]] .",Successful,0.3742031646082125,0.6633745431900024,-48.05728530883789,-48.878456115722656,0.8211708068847656,pwws-485,"a boring masquerade ball where normally good actors , even kingsley , are made to look bad .","a slow masquerade orb where ordinarily good actors , even kingsley , are stimulate to face regretful ."
713,713,0.0,90.0,0.0,0.0005584359169006348,"a relentless , bombastic and ultimately [[empty]] world war ii action flick .",1.0,0.7102004885673523,"a relentless , bombastic and ultimately [[discharge]] world war ii action flick .",Successful,0.7611606003349892,0.8735560178756714,-46.031288146972656,-43.755130767822266,-2.27615737915039,pwws-713,"a relentless , bombastic and ultimately empty world war ii action flick .","a relentless , bombastic and ultimately discharge world war ii action flick ."
1,1,1.0,135.0,1.0,0.001990973949432373,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[still]] a guilty pleasure to [[watch]] .",0.0,0.6337662935256958,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[inactive]] a guilty pleasure to [[scout]] .",Successful,0.8040514736345937,0.92588472366333,-53.58940124511719,-52.060142517089844,-1.5292587280273438,pwws-1,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch .","although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's inactive a guilty pleasure to scout ."
400,400,0.0,117.0,0.0,0.0017011761665344238,"yes they can swim , the [[title]] is [[merely]] anne-sophie birot's off-handed way of [[saying]] girls find adolescence difficult to wade through .",1.0,0.764914870262146,"yes they can swim , the [[entitle]] is [[simply]] anne-sophie birot's off-handed way of [[articulate]] girls find adolescence difficult to wade through .",Successful,0.6651557976544797,0.8901010155677795,-52.199134826660156,-50.524330139160156,-1.6748046875,pwws-400,"yes they can swim , the title is merely anne-sophie birot's off-handed way of saying girls find adolescence difficult to wade through .","yes they can swim , the entitle is simply anne-sophie birot's off-handed way of articulate girls find adolescence difficult to wade through ."
629,629,0.0,231.0,0.0,0.007743120193481445,"in this film we at least see a study in contrasts ; the wide range of one actor , and the [[limited]] range of a comedian .",1.0,0.9972244501113892,"in this film we at least see a study in contrasts ; the wide range of one actor , and the [[special]] range of a comedian .",Successful,0.8985396083419646,0.9534717798233032,-36.68621444702149,-35.11519241333008,-1.5710220336914062,pwws-629,"in this film we at least see a study in contrasts ; the wide range of one actor , and the limited range of a comedian .","in this film we at least see a study in contrasts ; the wide range of one actor , and the special range of a comedian ."
854,854,0.0,147.0,0.0,0.003350675106048584,"as [[earnest]] as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school .",1.0,0.9661166071891784,"as [[heartfelt]] as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school .",Successful,0.9356154226309104,0.9643210172653198,-41.9333610534668,-41.42023086547852,-0.5131301879882812,pwws-854,"as earnest as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school .","as heartfelt as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school ."
931,931,0.0,171.0,0.0,0.0008860230445861816,"it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a [[sappy]] , preachy one at that .",1.0,0.996740996837616,"it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a [[wacky]] , preachy one at that .",Successful,0.8942255541978509,0.945748507976532,-34.51580810546875,-34.36319732666016,-0.15261077880859375,pwws-931,"it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that .","it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a wacky , preachy one at that ."
545,545,0.0,120.0,0.0,0.0010523200035095217,"the movie is genial but never [[inspired]] , and [[little]] about it will stay with you .",1.0,0.9990093111991882,"the movie is genial but never [[exalt]] , and [[niggling]] about it will stay with you .",Successful,0.6675075987129311,0.8063157200813293,-41.49281692504883,-40.772274017333984,-0.7205429077148438,pwws-545,"the movie is genial but never inspired , and little about it will stay with you .","the movie is genial but never exalt , and niggling about it will stay with you ."
368,368,1.0,55.0,1.0,0.061911463737487786,one of the funnier [[movies]] in town .,0.0,0.8359336853027344,one of the funnier [[picture]] in town .,Successful,0.5,0.7387397289276123,-35.506202697753906,-33.24916458129883,-2.257038116455078,pwws-368,one of the funnier movies in town .,one of the funnier picture in town .
596,596,1.0,32.0,1.0,0.002289295196533203,'tobey maguire is a poster boy for the geek [[generation]] . ',0.0,0.9467758536338806,'tobey maguire is a poster boy for the geek [[coevals]] . ',Successful,0.7691605673134586,0.9276857376098632,-44.48681640625,-43.4052848815918,-1.0815315246582031,pwws-596,'tobey maguire is a poster boy for the geek generation . ','tobey maguire is a poster boy for the geek coevals . '
133,133,0.0,90.0,0.0,0.0068266987800598145,[[press]] the [[delete]] key .,1.0,0.925646424293518,[[compact]] the [[blue-pencil]] key .,Successful,0.6223329772884784,0.4617865681648254,-36.466983795166016,-36.09146499633789,-0.375518798828125,pwws-133,press the delete key .,compact the blue-pencil key .
765,765,0.0,121.0,0.0,0.0005880594253540039,"once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea isn't [[funny]] .",1.0,0.9940502047538756,"once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea isn't [[shady]] .",Successful,0.9132027013286008,0.9175138473510742,-40.09881210327149,-39.09054183959961,-1.008270263671875,pwws-765,"once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea isn't funny .","once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea isn't shady ."
843,843,0.0,164.0,0.0,0.002700507640838623,"you come away [[thinking]] not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .",1.0,0.9080103039741516,"you come away [[intelligent]] not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .",Successful,0.9299238452109287,0.9661989212036132,-43.27232360839844,-40.63914489746094,-2.6331787109375,pwws-843,"you come away thinking not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .","you come away intelligent not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another ."
727,727,0.0,180.0,0.0,0.0014092326164245605,"it's provocative [[stuff]] , but the [[speculative]] [[effort]] is [[hampered]] by taylor's cartoonish [[performance]] and the film's [[ill-considered]] notion that hitler's destiny was shaped by the most random of chances .",1.0,0.7316226959228516,"it's provocative [[squeeze]] , but the [[questioning]] [[movement]] is [[hinder]] by taylor's cartoonish [[execution]] and the film's [[improvident]] notion that hitler's destiny was shaped by the most random of chances .",Successful,0.544748028139935,0.8840044736862183,-52.6693115234375,-48.526161193847656,-4.143150329589844,pwws-727,"it's provocative stuff , but the speculative effort is hampered by taylor's cartoonish performance and the film's ill-considered notion that hitler's destiny was shaped by the most random of chances .","it's provocative squeeze , but the questioning movement is hinder by taylor's cartoonish execution and the film's improvident notion that hitler's destiny was shaped by the most random of chances ."
